,Fecha,Hora,Cuenca,Sub-Cuenca,Estacion,Paso,Precipitaciones (mm),Precipitaciones_IMERG_Polanco_del_Yi,Precipitaciones_MERRA_Polanco_del_Yi
175,2015-06-25,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.0157512724
176,2015-06-26,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.0142358243
177,2015-06-27,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0393602438,0.00895187259
178,2015-06-28,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0568917803,0.000350363553
179,2015-06-29,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,21.894619,5.56086889e-05
180,2015-06-30,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,25.0,0.118072443,3.00176907e-05
181,2015-07-01,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.036849387,1.7590537e-06
182,2015-07-02,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.142107308,1.79818016e-05
183,2015-07-03,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.143491939,6.29690476e-05
184,2015-07-04,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,7.0,0.0,3.0528463e-05
185,2015-07-05,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,6.44686224e-06
186,2015-07-06,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0118424771,3.42151907e-07
187,2015-07-07,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0036100205,1.02219929e-05
188,2015-07-08,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,1.013359e-05
189,2015-07-09,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0277734362,3.49191396e-06
190,2015-07-10,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.758704305,1.03169441e-05
191,2015-07-11,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.7893309,2.84984708e-05
192,2015-07-12,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.011615322,0.00234944746
193,2015-07-13,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,10.0,0.293973595,0.0209949911
194,2015-07-14,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.245521039,0.0502243638
195,2015-07-15,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.130140781
196,2015-07-16,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.000184582299,0.197035074
197,2015-07-17,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0947588906,0.383663177
198,2015-07-18,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,1.0,0.0,0.665831566
199,2015-07-19,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.513267517
200,2015-07-20,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0111759156,0.357592106
201,2015-07-21,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.305449963
202,2015-07-22,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.347185135
203,2015-07-23,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0973706916,0.335919857
204,2015-07-24,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.321650505
205,2015-07-25,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.372290611
206,2015-07-26,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.52549839
207,2015-07-27,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.402438641
208,2015-07-28,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.165063143
209,2015-07-29,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.00271162391,0.0693619251
210,2015-07-30,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.751591146,0.137758255
211,2015-07-31,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,8.0,12.2053013,0.294935703
212,2015-08-01,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,9.0,13.686471,0.364565849
213,2015-08-02,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,17.0,1.02259719,0.249123573
214,2015-08-03,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,1.0,0.0,0.110560656
215,2015-08-04,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.0256352127
216,2015-08-05,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.590933979,0.00115879811
217,2015-08-06,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,15.0,76.7569733,0.000722100958
218,2015-08-07,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,68.0,11.1503496,4.9204391e-05
